Brand Name,Product Name,Colour,Price,Currency,Product ID,URL
Nike,Nike - M2K Tekno - Baskets - Noir et rose,Noir/prune,79.99,EUR,1342762,nike/nike-m2k-tekno-baskets-noir-et-rose/prd/10563191?clr=noir-prune&colourWayId=15127026
Nike,Nike - Ashin - Baskets - Noir,Noir,79.99,EUR,1202393,nike/nike-ashin-baskets-noir/prd/9016343?clr=noir&colourWayId=15254053
Nike,Nike - Air Heights - Baskets - Noir,Noir/noir blanc,80.0,EUR,1436875,nike/nike-air-heights-baskets-noir/prd/11786007?clr=noir-noir-blanc&colourWayId=16332801
Nike,Nike - Cortez - Baskets classiques en nylon - Noir et blanc,Noir/blanc,80.0,EUR,1436895,nike/nike-cortez-baskets-classiques-en-nylon-noir-et-blanc/prd/11786679?clr=noir-blanc&colourWayId=16332089
Nike,Nike - Air Force 1 Sage - Baskets - Noir,Noir,81.99,EUR,1370253,nike/nike-air-force-1-sage-baskets-noir/prd/10897453?clr=noir&colourWayId=15141240
Nike,Nike - Air Force 1 Jester - Baskets - Noir,Noir,92.99,EUR,1469430,nike/nike-air-force-1-jester-baskets-noir/prd/12220599?clr=noir&colourWayId=16368697
Nike,Nike - Air Max Dia - Baskets - Noir,Noir/sommet blanc,95.99,EUR,1342775,nike/nike-air-max-dia-baskets-noir/prd/10563205?clr=noir-sommet-blanc&colourWayId=15126913
Nike,Nike - Air Force 1 - Baskets - Noir et vert fluo,Gel black and green,109.99,EUR,1439550,nike/nike-air-force-1-baskets-noir-et-vert-fluo/prd/11819641?clr=gel-black-and-green&colourWayId=16333611
Nike,Nike - Air Max 270 - Baskets - Noir et blanc,Noir/blanc,127.49,EUR,1386929,nike/nike-air-max-270-baskets-noir-et-blanc/prd/11115380?clr=noir-blanc&colourWayId=16276174
Nike,Nike - React Element 55 - Baskets - Noir et blanc,Noir/blanc,130.0,EUR,1387015,nike/nike-react-element-55-baskets-noir-et-blanc/prd/11115912?clr=noir-blanc&colourWayId=16276183
Nike,Nike - Air Max 720 - Baskets - Noir et bleu irisé,Noir,132.99,EUR,1342782,nike/nike-air-max-720-baskets-noir-et-bleu-irise/prd/10563716?clr=noir&colourWayId=15126820
Nike,Nike - Air Max 270 - Baskets - Noir et blanc,Noir,135.49,EUR,1309473,nike/nike-air-max-270-baskets-noir-et-blanc/prd/10168452?clr=noir&colourWayId=15099028
Nike,Nike - Air Max 720 - Baskets - Noir,Noir,142.49,EUR,1342783,nike/nike-air-max-720-baskets-noir/prd/10563715?clr=noir&colourWayId=15127179
Nike,Nike - Air Max 270 - Baskets - Noir et blanc,Black/anthracite whi,150.0,EUR,1436223,nike/nike-air-max-270-baskets-noir-et-blanc/prd/11787547?clr=black-anthracite-whi&colourWayId=16332049
Nike,Nike - Air Max 97 - Baskets de qualité supérieure en cuir à effet craquelé - Noir,Noir,151.99,EUR,1342727,nike/nike-air-max-97-baskets-de-qualite-superieure-en-cuir-a-effet-craquele-noir/prd/10562662?clr=noir&colourWayId=15126957
Nike,Nike - Bauhaus Air Max 270 React - Baskets,Fantôme/noir et bleu clair,160.0,EUR,1436810,nike/nike-bauhaus-air-max-270-react-baskets/prd/11785278?clr=fantome-noir-et-bleu-clair&colourWayId=16332083
Nike,Nike - Optical Air Max 270 React - Baskets,Noir/gris,160.0,EUR,1453873,nike/nike-optical-air-max-270-react-baskets/prd/12004395?clr=noir-gris&colourWayId=16351912
Nike,Nike - Shox Total - Baskets - Blanc,White/white mtlc sil,170.0,EUR,1436851,nike/nike-shox-total-baskets-blanc/prd/11785407?clr=white-white-mtlc-sil&colourWayId=16332048
Nike,Nike - Air Max 97 - Baskets - Noir et blanc,Black/black black,180.0,EUR,1436865,nike/nike-air-max-97-baskets-noir-et-blanc/prd/11786006?clr=black-black-black&colourWayId=16332079
Nike,Nike - Air Max 720 - Baskets - Noir et rose,Black/laser fuchsia,200.0,EUR,1387022,nike/nike-air-max-720-baskets-noir-et-rose/prd/11116390?clr=black-laser-fuchsia&colourWayId=16276218
Nike Running,Nike Running - Renew Arena - Baskets - Noir,Anthracite,55.99,EUR,1345710,nike-running/nike-running-renew-arena-baskets-noir/prd/10599415?clr=anthracite&colourWayId=15129326
